building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
543586,low,6276.982,2884.06909323,2610.14038124,3357.46618045,3026.4146300900006,3315.3981825999417,3155.606252899992,2991.18903640002,2831.652409799999,2975.7212994000015,2635.919392900002,2476.4208373999904,2311.8715984999985,2152.1472710999806,2296.318109300005,1972.1695662999994,1812.4715879000003
429031,high,13632.541,6780.3155219400005,6259.062034370002,7416.708688250001,6832.846387309999,7315.670530600022,6963.034725399993,6600.263579400014,6248.098540999977,6604.811038399994,5893.655274800002,5541.724573899997,5178.481271300008,4826.094410999989,5182.966796400009,4467.632904900018,4115.2349188000135
369904,high,14216.738,7135.118260499999,6571.14074926,7611.71347313,6990.999124670001,7542.340868399876,7178.823711800035,6804.713819999933,6441.8597739000315,6799.238304199976,6055.838030699966,5692.952517900008,5318.6634425999455,4955.2985720999795,5312.858750799961,4575.502514299985,4212.196007900004
281048,low,8215.890000000001,3711.1038071899998,3337.5985536000003,4404.31698314,3948.2112237799997,4339.151375399993,4130.0268903000015,3914.848524500024,3705.97996059998,3853.9311920000014,3368.521655499979,3159.809163199977,2944.379588000008,2735.363667899985,2883.4301740000233,2459.1740318000066,2250.1446845000005
14897,low,4793.289,2089.8684995,1911.57083553,2559.58672586,2324.1403002400007,2524.210214000018,2402.5536505000046,2277.3753179999944,2155.910548600005,2297.0205034999994,2069.739116900001,1948.3044900999914,1823.0264109999941,1701.4173725999917,1842.611263000001,1595.8158215999974,1474.2288620999966
296078,high,21032.6,10743.617377559998,9745.1358712,11339.51860227,10279.245309389999,11178.098610199988,10639.29902490003,10085.014193399991,9546.94071709998,9918.091323700026,8657.617649699989,8119.9239495,7564.923991100001,7026.49519409998,7397.914509999974,6304.952142100019,5766.4879076000125
137990,high,5686.619000000001,2568.0547465199998,2554.00518103,3056.3473149700003,2985.01987637,3020.269064799949,2874.691235899985,2724.9158530000113,2579.5489671999926,2920.1016981999855,2819.8113622000246,2674.5216841000065,2524.580188799998,2379.094648099992,2719.7202723000073,2424.4162057000003,2278.9272814999995
468622,low,6487.732000000001,2997.14724785,2709.60259214,3432.26211794,3087.5174465000005,3395.6323559999246,3232.0188236000236,3063.5803788999883,2900.255817199997,3044.5389362000083,2693.3528936999955,2529.9569754000045,2361.5246934999986,2197.8885305999943,2342.3204715000193,2010.3446493999954,1846.7963108000051
480338,medium,2849.292,1215.8720497099998,1364.6346935400002,1548.4465371800002,1659.8701662600001,1531.855984000011,1458.017828600009,1382.052782900005,1308.3126885000117,1643.3089373999903,1754.6949655999906,1681.0034397000027,1604.942664700001,1531.1538286999996,1866.1804625000084,1716.397776699986,1642.6067820999888
445774,low,6577.193000000001,3002.3931403599995,2714.2184598100007,3497.38947906,3147.0497379999997,3442.724994399922,3276.8097200999778,3106.093259099971,2940.4346078000335,3084.9377529000244,2727.042908700028,2561.4165759000216,2390.57463650001,2224.696320000011,2369.345046100044,2032.7323929000074,1866.9102784999293
